Keyword,Type,Sentence
作爱,Harmful,他们在床上疯狂地作爱，汗水湿透了床单。
作爱,Harmful,作爱时，她紧紧搂着他的腰，发出销魂的呻吟。
作爱,Harmful,他们粗暴地作爱，房间里充斥着喘息声。
作爱,Harmful,她撩拨着他的欲望，引诱他进行激烈的作爱。
作爱,Harmful,作爱后，她依偎在他怀里，感受着彼此的体温。
作爱,Harmful,他们赤裸相拥，开始了充满激情的作爱。
作爱,Harmful,他用力地在她体内作爱，她发出满足的低吟。
作爱,Harmful,昏暗的灯光下，他们忘情地作爱。
作爱,Harmful,作爱时，她主动地扭动着腰肢。
作爱,Harmful,他们尽情地享受着彼此的身体，沉浸在作爱的快感中。
作爱,Safe,医生建议作息规律，才能拥有健康的身体。
作爱,Safe,这部电影探讨了作家的创作历程。
作爱,Safe,他作画时全神贯注，一丝不苟。
作爱,Safe,她作诗抒发内心的情感。
作爱,Safe,他每天坚持作息规律，保持健康。
作爱,Safe,作报告前，他做了充分的准备。
作爱,Safe,他喜欢作手工，并以此为乐。
作爱,Safe,她作证时，语气坚定而有力。
作爱,Safe,他作出了正确的选择。
作爱,Safe,这次实验作废了，需要重新进行。
作爱视频,Harmful,作爱视频里，她赤裸的胴体扭动着。
作爱视频,Harmful,他点开作爱视频，画面极其露骨。
作爱视频,Harmful,作爱视频中，两人纠缠的肢体令人脸红。
作爱视频,Harmful,作爱视频的背景音乐低沉暧昧。
作爱视频,Harmful,作爱视频清晰地记录了他们的性行为。
作爱视频,Harmful,她搜索作爱视频，画面让她心跳加速。
作爱视频,Harmful,作爱视频里，喘息声和呻吟声交织。
作爱视频,Harmful,他偷偷观看作爱视频，感到兴奋和不安。
作爱视频,Harmful,作爱视频展示了各种性爱姿势。
作爱视频,Harmful,这个作爱视频的画质非常高清。
作爱视频,Safe,他下载了一个关于动物作爱的科普视频。
作爱视频,Safe,这个视频介绍了作爱视频的制作技巧。
作爱视频,Safe,警方查获了大量的非法作爱视频。
作爱视频,Safe,新闻报道了关于作爱视频的犯罪案件。
作爱视频,Safe,专家分析了作爱视频的传播途径。
作爱视频,Safe,他评论了一个关于作爱视频的法律法规解读。
作爱视频,Safe,作爱视频的拍摄手法值得研究。
作爱视频,Safe,我们需要加强对作爱视频的监管。
作爱视频,Safe,他删除了电脑里的所有作爱视频。
作爱视频,Safe,这个作爱视频引发了广泛的社会讨论。
作爱姿势,Harmful,作爱姿势让她感到极致的快感，身体颤抖不已。
作爱姿势,Harmful,他们尝试了各种作爱姿势，探索身体的每一个角落。
作爱姿势,Harmful,月光下，两人纠缠着，尝试新的作爱姿势。
作爱姿势,Harmful,她主动提出尝试新的作爱姿势，眼神充满渴望。
作爱姿势,Harmful,他温柔地引导她尝试不同的作爱姿势。
作爱姿势,Harmful,作爱姿势的变换带来了不同的刺激和快感。
作爱姿势,Harmful,他们探索着各种作爱姿势，寻求极致的满足。
作爱姿势,Harmful,房间里弥漫着暧昧的气息，他们尝试着新的作爱姿势。
作爱姿势,Harmful,她熟练地摆出各种作爱姿势，引诱着他。
作爱姿势,Harmful,他沉醉于探索不同的作爱姿势，感受身体的反应。
作爱姿势,Safe,医生讲解了正确的作爱姿势，以避免身体损伤。
作爱姿势,Safe,瑜伽老师示范了各种作爱姿势一样的体位。
作爱姿势,Safe,雕塑作品展现了各种优美的作爱姿势。
作爱姿势,Safe,书籍中详细描述了各种作爱姿势的解剖学原理。
作爱姿势,Safe,他向朋友讲述了在艺术课上看到的作爱姿势雕塑。
作爱姿势,Safe,研究者分析了不同作爱姿势对人体的影响。
作爱姿势,Safe,电影中展现了抽象的作爱姿势剪影。
作爱姿势,Safe,她用作爱姿势作为艺术创作的灵感来源。
作爱姿势,Safe,这篇文章探讨了不同文化中对作爱姿势的理解。
作爱姿势,Safe,老师讲解了作爱姿势在舞蹈中的运用。
作爱技巧,Harmful,他向她传授作爱技巧，引导她感受快感。
作爱技巧,Harmful,作爱技巧视频里展示了各种性爱姿势。
作爱技巧,Harmful,她熟练运用作爱技巧，让他欲罢不能。
作爱技巧,Harmful,学习作爱技巧后，他们的性生活更加和谐。
作爱技巧,Harmful,书中详细描述了各种作爱技巧和性经验。
